Rk,Player,Nation,Pos,Squad,Age,Born,Matches Played,Starts,Min,Total_Goals,Assits,G+A,Goal_without_Penalties,Penalty_Goals,Total_Penalties_Atemptted,Weekly Wages,Annual Wages
326,Mason Holgate,jm JAM,"FW,DF",Everton,27,1996,1,0,6,0,0,0,0,0,0,"PS 70,000 (EUR 82,191, $91,635)","PS 3,640,000 (EUR 4,273,953, $4,765,042)"
327,Mason Mount,eng ENG,MF,Manchester Utd,25,1999,17,8,622,1,0,1,1,0,0,"PS 250,000 (EUR 296,187, $305,313)","PS 13,000,000 (EUR 15,401,712, $15,876,279)"
328,Massimo Luongo,au AUS,MF,Ipswich Town,31,1992,11,2,201,0,0,0,0,0,0,"PS 10,000 (EUR 11,847, $12,213)","PS 520,000 (EUR 616,068, $635,051)"
329,Mateo Kovacic,hr CRO,MF,Manchester City,30,1994,31,25,2198,6,2,8,6,0,0,"PS 150,000 (EUR 177,712, $183,188)","PS 7,800,000 (EUR 9,241,027, $9,525,767)"
330,Mateus Fernandes,pt POR,MF,Southampton,20,2004,36,34,2909,2,4,6,2,0,0,"PS 20,000 (EUR 23,695, $24,425)","PS 1,040,000 (EUR 1,232,137, $1,270,102)"
331,Matheus Cunha,br BRA,"MF,FW",Wolves,25,1999,33,29,2597,15,6,21,15,0,0,"PS 60,000 (EUR 71,085, $73,275)","PS 3,120,000 (EUR 3,696,411, $3,810,307)"
332,Matheus Franca,br BRA,"MF,FW",Crystal Palace,20,2004,4,0,55,1,0,1,1,0,0,"PS 40,000 (EUR 47,390, $48,850)","PS 2,080,000 (EUR 2,464,274, $2,540,205)"
333,Matheus Nunes,pt POR,"DF,MF",Manchester City,25,1998,26,19,1674,1,6,7,1,0,0,"PS 130,000 (EUR 154,017, $158,763)","PS 6,760,000 (EUR 8,008,890, $8,255,665)"
334,Mathias Jensen,dk DEN,MF,Brentford,28,1996,24,8,862,0,2,2,0,0,0,"PS 50,000 (EUR 59,237, $61,063)","PS 2,600,000 (EUR 3,080,342, $3,175,256)"
335,Mathys Tel,fr FRA,FW,Tottenham,19,2005,13,11,911,2,1,3,1,1,1,"PS 80,000 (EUR 94,796, $107,396)","PS 4,160,000 (EUR 4,929,390, $5,584,603)"
336,Mats Wieffer,nl NED,"DF,MF",Brighton,24,1999,25,10,1015,1,3,4,1,0,0,"PS 60,000 (EUR 71,085, $73,275)","PS 3,120,000 (EUR 3,696,411, $3,810,307)"
337,Matt Doherty,ie IRL,DF,Wolves,32,1992,30,25,2109,2,1,3,2,0,0,"PS 50,000 (EUR 59,237, $61,063)","PS 2,600,000 (EUR 3,080,342, $3,175,256)"
338,Matt O'Riley,dk DEN,MF,Brighton,23,2000,21,11,938,2,2,4,1,1,1,"PS 50,000 (EUR 59,237, $61,063)","PS 2,600,000 (EUR 3,080,342, $3,175,256)"
339,Matt Targett,eng ENG,DF,Newcastle Utd,28,1995,2,0,21,0,0,0,0,0,0,"PS 100,000 (EUR 118,475, $122,125)","PS 5,200,000 (EUR 6,160,685, $6,350,511)"
